これはレベル3顧客のサービスとの認知から接触、購入に至るまでのプロセスのこと。,1,カスタマージャーニー,イノベーター理論,アラインメント
イノベーター理論において、初期市場からメインストリーム市場に移行する際の溝のこと。,3,クラスター,ギャップ,キャズム
「2割の要素が全体の8割を生み出している」というばらつきの状態。,3,ネイチャー分布,イコール分布,パレート分布
ターゲット属性の中で特に重要で、特徴をもたせた架空ユーザー。,2,カスタマー,ペルソナ,リード
「注意→興味→欲求→記憶→行動」という購買心理の動き方。プロセスのこと。,1,AIDMA,AISAS,AIIPO
顧客生涯価値。そのユーザーが将来までに渡ってどの程度の利益を生むかという予測。,1,LTV,TVL,LMV
企業や事業のマーケティング戦略を導くための分析フレームワーク。S：強み、W：弱み、O：機会、Tは何。,3,顧客,仲間,脅威
ユーザーのフリークエンシー（Web広告とユーザーの接触回数。）をコントロールし配信する広告を変化させる手法。,1,シーケンス配信,オーディオ配信,タイム配信
1,000回インプレッションあたりの広告コスト。,2,CMP,CPM,MPC
広告に対して何かしらの反応をした見込客に対してセールスを行っていく手法。,1,DRM,DRC,DRB

